time , step-size , {ArduCopter}.ArduCopter.accelerometerX , {ArduCopter}.ArduCopter.accelerometerY , {ArduCopter}.ArduCopter.accelerometerZ , {ArduCopter}.ArduCopter.gpsVelX , {ArduCopter}.ArduCopter.gpsVelY , {ArduCopter}.ArduCopter.gpsVelZ , {ArduCopter}.ArduCopter.gpsX , {ArduCopter}.ArduCopter.gpsY , {ArduCopter}.ArduCopter.gpsZ , {ArduCopter}.ArduCopter.gyroX , {ArduCopter}.ArduCopter.gyroY , {ArduCopter}.ArduCopter.gyroZ , {Ardupilot}.Ardupilot.motor1 , {Ardupilot}.Ardupilot.motor2 , {Ardupilot}.Ardupilot.motor3 , {Ardupilot}.Ardupilot.motor4
13.5625 , 0.0024999999999995026 , 2.3053030747515487E-15 , 1.0498338580977317E-14 , 380.27691964618407 , -3.3665732739127947E-15 , -8.566741905832213E-16 , -1.4638877634696474 , -2.5242583208236973E-14 , -1.1009299552935631E-14 , -5.150855269450653 , 4.771845737013621E-11 , -3.531911744922756E-12 , 3.4676852237920425E-13 , 40.770232843877665 , 40.77023284387715 , 40.77023284387715 , 40.77023284387761
13.565 , 0.0024999999999995026 , 2.3965177720757752E-15 , 1.1386823176655826E-14 , 380.5977702956543 , -3.3665156394847154E-15 , -8.564042343492436E-16 , -1.4545632888491897 , -2.5250999569844106E-14 , -1.101144090553632E-14 , -5.154503334970326 , 1.5830405695377557E-11 , -3.2841334638420158E-12 , 3.0586129666067663E-13 , 40.744776144621625 , 40.74477614462114 , 40.74477614462114 , 40.744776144621596
13.5675 , 0.002500000000001279 , 2.480555025808998E-15 , 1.1248557953672364E-14 , 380.9069259698915 , -3.3664558562791425E-15 , -8.5612448131054E-16 , -1.4452311820855932 , -2.5259415784643626E-14 , -1.1013581565737498E-14 , -5.15812807971218 , -2.6821275641590254E-11 , -2.969446745204025E-12 , 1.6237118474130537E-13 , 38.94841166355528 , 38.94841166355491 , 38.94841166355491 , 38.94841166355528
13.57 , 0.0024999999999995026 , 2.5035254144919636E-15 , 9.724075426722472E-15 , 393.48241243015315 , -3.366394589594848E-15 , -8.558645610166205E-16 , -1.4357792999866932 , -2.526783184779379E-14 , -1.1015721544114494E-14 , -5.161729413252549 , -6.965722017385791E-11 , -2.517008189629024E-12 , 4.2860546932038746E-14 , 38.95998599781771 , 38.9599859978176 , 38.9599859978176 , 38.95998599781771
13.5725 , 0.0024999999999995026 , 2.5202704104684045E-15 , 7.284258703156329E-15 , 404.6774163388507 , -3.366333116276916E-15 , -8.556549859936351E-16 , -1.4259721049601248 , -2.5276247757511296E-14 , -1.1017860931063211E-14 , -5.165306659690536 , -1.0076245179856254E-10 , -2.3200916696253667E-12 , 6.724517480300743E-14 , 38.96621374092567 , 38.96621374092584 , 38.96621374092584 , 38.96621374092567
13.575 , 0.0024999999999995026 , 2.573347863613117E-15 , 4.482010636890667E-15 , 405.68374985842155 , -3.366270736580282E-15 , -8.555104993783975E-16 , -1.4160287035727956 , -2.5284663512601088E-14 , -1.101999987356724E-14 , -5.168859165128549 , -1.0916624249104626E-10 , -2.0977049711479207E-12 , 7.012562422506758E-14 , 38.967121320062404 , 38.96712132006286 , 38.96712132006289 , 38.967121320062404
13.5775 , 0.002500000000001279 , 2.6315625649810224E-15 , 1.844942615172748E-15 , 404.2506483825571 , -3.3662069384167235E-15 , -8.55434022565844E-16 , -1.4061036381550647 , -2.5293079109992873E-14 , -1.1022138540694919E-14 , -5.172386823043614 , -8.881330283913183E-11 , -1.9196497596647016E-12 , 4.990672943279415E-14 , 38.96452759868964 , 38.964527598690296 , 38.964527598690324 , 38.96452759868964
13.58 , 0.0024999999999995026 , 2.6833990511429545E-15 , 8.339239707969536E-17 , 403.7342600079627 , -3.366141795182628E-15 , -8.554128475204231E-16 , -1.396203969111694 , -2.530149454617356E-14 , -1.1024277090239998E-14 , -5.175889704979689 , -4.250094275198181E-11 , -1.9087177331537268E-12 , -8.467761904837365E-14 , 38.95822812125155 , 38.95822812125229 , 38.95822812125229 , 38.95822812125155
13.5825 , 0.0024999999999995026 , 2.7331055116380874E-15 , -2.2004479799315457E-16 , 403.86797616016474 , -3.366075415770693E-15 , -8.554179286633985E-16 , -1.3863074366663082 , -2.5309909817941327E-14 , -1.1026415627137197E-14 , -5.179367844985304 , 2.1228937999756E-11 , -1.9512297691911018E-12 , -2.348780495305031E-13 , 38.94674998006289 , 38.94674998006346 , 38.94674998006346 , 38.94674998006289
13.585 , 0.002500000000001279 , 2.7842549093214243E-15 , 1.2194030754297997E-15 , 404.09007307652337 , -3.3660078047062275E-15 , -8.554092675531186E-16 , -1.3764059461893754 , -2.5318324922227858E-14 , -1.1028554168498154E-14 , -5.1828212378906295 , 8.827423160463561E-11 , -2.0232510322611026E-12 , -2.5899825094267415E-13 , 38.92979117373338 , 38.92979117373369 , 38.92979117373369 , 38.92979117373338
13.5875 , 0.0024999999999995026 , 2.8330064434372284E-15 , 4.2705678285208194E-15 , 404.3007079514979 , -3.3659389537936548E-15 , -8.553448587591602E-16 , -1.3664992419292052 , -2.532673985592502E-14 , -1.1030692626784278E-14 , -5.186249870502736 , 1.4211522379746168E-10 , -1.7815329900031672E-12 , -2.460691318718586E-13 , 37.228458455609854 , 37.22845845560974 , 37.22845845560974 , 37.228458455609854
13.59 , 0.0024999999999995026 , 2.816163623117027E-15 , 8.197170413954107E-15 , 416.64149484525257 , -3.365869525426606E-15 , -8.551926342516166E-16 , -1.3564764236109765 , -2.533515461640938E-14 , -1.1032830818753487E-14 , -5.18965365923225 , 1.6649728172656698E-10 , -1.5062472376826288E-12 , -2.873213087867587E-13 , 37.24706022631639 , 37.247060226315824 , 37.247060226315824 , 37.24706022631639
13.5925 , 0.0024999999999995026 , 2.7994706577174262E-15 , 1.2115909782747225E-14 , 427.6146967389977 , -3.3658008232425045E-15 , -8.54943027227761E-16 , -1.3461045869386217 , -2.5343569204259193E-14 , -1.1034968508412198E-14 , -5.193031941519896 , 1.5085257206501936E-10 , -1.4168354416604427E-12 , -2.598712747507475E-13 , 37.26068550970294 , 37.260685509702 , 37.26068550970203 , 37.260685509702995
